Time (s),Amplitude
-8.00E-04,0
-7.47E-04,9.03E-02
-6.23E-04,2.58E-01
-3.95E-04,5.20E-01
0.00E+00,1.00E+00
7.52E-07,9.75E-01
1.22E-06,8.74E-01
1.63E-06,8.17E-01
2.70E-06,6.24E-01
3.14E-06,5.83E-01
5.39E-06,2.80E-01
6.96E-06,1.36E-01
8.01E-06,7.30E-02
9.42E-06,2.42E-02
1.05E-05,5.56E-03
1.26E-05,0.00E+00
